name,sku,barcode,category,brand,unit,purchase_price,selling_price,quantity,reorder_level,description
قهوة عربية فاخرة,PRD-001,1234567890001,مشروبات,العربية,قطعة,50.00,100.00,100,20,قهوة عربية فاخرة محمصة
حليب طازج كامل الدسم,PRD-002,1234567890002,منتجات ألبان,المراعي,لتر,10.00,15.00,50,10,حليب طازج كامل الدسم 1 لتر
شوكولاتة داكنة,PRD-003,1234567890003,وجبات خفيفة,جالاكسي,قطعة,5.00,10.00,200,30,شوكولاتة داكنة 100 جرام
خبز أبيض طازج,PRD-004,1234567890004,مخبوزات,الطازج,قطعة,3.00,5.00,80,15,خبز أبيض طازج
كركم مطحون عضوي,PRD-005,1234567890005,توابل,العضوي,كيلوجرام,15.00,25.00,60,10,كركم مطحون عضوي 250 جرام
عصير برتقال طبيعي,PRD-006,1234567890006,مشروبات,الطبيعي,لتر,8.00,12.00,40,10,عصير برتقال طبيعي 1 لتر
لبن زبادي طبيعي,PRD-007,1234567890007,منتجات ألبان,ندى,قطعة,4.00,7.00,100,20,لبن زبادي طبيعي 500 جرام
شيبس بطاطس مقرمش,PRD-008,1234567890008,وجبات خفيفة,ليز,قطعة,6.00,10.00,150,25,شيبس بطاطس مقرمش 150 جرام
كرواسون بالزبدة,PRD-009,1234567890009,مخبوزات,الفرنسي,قطعة,4.00,8.00,60,10,كرواسون بالزبدة الطازج
فلفل أسود مطحون,PRD-010,1234567890010,توابل,الهندي,كيلوجرام,20.00,35.00,40,8,فلفل أسود مطحون 100 جرام
شاي أخضر فاخر,PRD-011,1234567890011,مشروبات,ربيع,علبة,12.00,20.00,80,15,شاي أخضر فاخر 25 كيس
جبنة شيدر,PRD-012,1234567890012,منتجات ألبان,بوك,كيلوجرام,25.00,40.00,50,10,جبنة شيدر 500 جرام
بسكويت بالشوكولاتة,PRD-013,1234567890013,وجبات خفيفة,أوريو,علبة,8.00,15.00,120,20,بسكويت بالشوكولاتة 300 جرام
كيك فانيليا,PRD-014,1234567890014,مخبوزات,الحلويات,قطعة,15.00,25.00,30,5,كيك فانيليا شريحة
قرفة مطحونة,PRD-015,1234567890015,توابل,السيلاني,كيلوجرام,18.00,30.00,35,7,قرفة مطحونة 100 جرام
